,date,policy_type,start_stop,comments,total_phases,state
1340,2020-05-27,Food and Drink,start,"Policy_Details: The new order clarifies that generally all businesses that are within the counties that have been moved to the low risk phase are operating if they can meet and adhere to the specific guidelines. For clarity, the order states symptom checking in public and business interactions should happen when feasible. 

The guidance for  K-12 education addresses the resumption of school activities, including sports, under jurisdiction of district and school authorities in adherence to indoor and outdoor guidelines. 

Regarding higher education, campuses may be open for in-person classes with increased cleaning and hygiene regimen.   Source information: https://coronavirus.utah.gov/governor-issues-executive-order-releasing-updated-guidelines-for-low-risk-phase-in-the-utah-leads-together-plan/",,UT
1342,2020-06-05,Food and Drink,start,"Policy_Details: Governor Northam issued amended Executive Order 65 easing certain temporary restrictions of businesses
Restaurants, dining establishments, food courts, breweries, microbreweries, distilleries, wineries, and tasting rooms may operate delivery, take out, indoor/outdoor dining, and beverage services in compliance with guidelines
Occupancy may not exceed 50% 
All parties must be limited to 50 patrons or less
Tables at which dining parties are seated must be positioned 6 ft apart
No self service of food (except beverages) and including condiments 
Bar seats must be closed to patrons except for through traffic 
Employees must wear face coverings at all times
Cleaning and disinfection of frequently contacted surfaces must be conducted every 60 minutes
If businesses cannot adhere to these guidelines, they must close  Phase Level: 2, Phase Details Source information: https://www.governor.virginia.gov/media/governorvirginiagov/executive-actions/EO-65-and-Order-Of-Public-Health-Emergency-Six---AMENDED---Phase-Two-Easing-of-Certain-Temporary-Restrictions-Due-to-Novel-Coronavirus-(COVID-19).pdf",,VA
1343,2020-05-14,Outdoor and Recreation,start,"Policy_Details: walking, hiking, biking, golfing, boating permitted 
 Phase Level: 3, Phase Details Source information: https://www.michigan.gov/documents/whitmer/MI_SAFE_START_PLAN_689875_7.pdf",6.0,MI
1347,2020-03-19,Allow Audio Only Telehealth,start,"Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access",,OH
1348,2020-03-19,Allow Audio Only Telehealth,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open",,IL
1352,2020-03-10,State of Emergency,start,"Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open",,NC
1353,2020-04-03,Gyms,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access",,NE
1356,2020-03-23,Gyms,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, paid sick leave",,RI
1362,2020-04-27,Non-Essential Businesses,start,"Policy_Details: Main Street and retail businesses can become operational with reduced capacity and
where strict physical distancing protocols can be maintained.
Outdoor recreation can become operational if sites adhere to strict physical distancing
between groups and exercise frequent sanitation protocols if public facilities are open.
Organized youth activities can consider becoming operational if physical distancing
guidelines can be implemented. (Organized youth activities should avoid gathering in groups of more than 10 people in circumstances that do not readily allow for appropriate physical
distancing.) Phase Level: 1, Phase Details Source information: https://covid19.mt.gov/Portals/223/Documents/04-22-20%20Directive%20and%20Appx%20-%20Reopening%20Phase%20One.pdf?ver=2020-04-22-124954-977",,MT
1366,0020-05-01,Resumed Elective Medical Procedures,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open",,VA
1367,2020-04-01,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, paid sick leave",,OR
1369,2020-06-05,Phase 2,start,"Policy_Details: Governor Northam issued amended Executive Order 65 easing certain temporary restrictions on businesses Fitness centers, gyms, recreation centers, sports facilities, and exercise facilities may reopen for indoor and outdoor activities Patrons, members, guests must remain at least 10 ft apart Instructors and participants of group exercise must remain at least 10 ft apart Total # of attendees in group exercise and fitness classes can't exceed the lesser of 30% of minimum occupancy load Hot tubs, spas, splash pads, spray pools, interactive pool must be closed Outdoor/indoor swimming pools may open for lap swimming, diving, exercise, instruction and must be limited to no more than 3 people per lane with 10 ft between each swimmer Employees must wear face coverings at all times Ensure cleaning and disinfection Facilities shall prohibit any equipment that can't be thoroughly cleaned Supply hand sanitizer or hand washing stations If a business can't adhere, it must close Phase Level: 2, Phase Details Source information: https://www.governor.virginia.gov/media/governorvirginiagov/executive-actions/EO-65-and-Order-Of-Public-Health-Emergency-Six---AMENDED---Phase-Two-Easing-of-Certain-Temporary-Restrictions-Due-to-Novel-Coronavirus-(COVID-19).pdf",,VA
1370,2020-06-05,Phase 2,start,"Policy_Details: Governor Northam issued EO 65 easing certain temporary restrictions on businesses Outdoor performing arts venues, concert venues, sports venues, movie theaters, museums, aquariums, zoos, botanical gardens may reopen Occupancy can't exceed 50% Install visible markers for queue lines to remain 6 ft apart Create guest flow plans Cleaning and disinfection every 60 minutes Install sneeze guards Employees must wear face coverings Provide hand washing or sanitizer for guests and employees Phase Level: 2, Phase Details Source information: https://www.governor.virginia.gov/media/governorvirginiagov/executive-actions/EO-65-and-Order-Of-Public-Health-Emergency-Six---AMENDED---Phase-Two-Easing-of-Certain-Temporary-Restrictions-Due-to-Novel-Coronavirus-(COVID-19).pdf",,VA
1371,2020-05-01,Outdoor and Recreation,start,"Policy_Details: all places of public amusement (indoor & outdoor) closed  Phase Level: Shelter in Place, Phase Details Source information: https://coronavirus.ohio.gov/static/publicorders/Directors-Stay-Safe-Ohio-Order.pdf",,OH
1373,2020-03-19,Gyms,start,"Other measures and details for this policy include: alcohol liquor stores open, paid sick leave",,CA
1376,2020-05-01,New Phase,start,"Policy_Details: Businesses, self-care, massage therapy, health and athletic clubs, move theaters, may reopen. recreation and sports arenas, music and entertainment venues will remain closed until further notice.   Source information: https://www.governor.nd.gov/sites/www/files/documents/executive-orders/Executive%20Order%202020-06.4.pdf",,ND
1377,2020-04-03,Gyms,start,"Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open",,MO
1378,2020-03-18,Suspended Elective Medical Dental Procedures,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access",,KY
1380,2020-08-14,Mask Requirement,start,"Policy_Details: Any person in a public place, whether indoors or outdoors, who does not maintain a safe social distance of approximately six feet from every other person shall cover their mouth and nose with a mask or cloth face-covering. In addition, individuals shall use a mask or cloth face covering when using the services of any taxi, car, livery, ride-sharing or similar service, or any means of mass public transit, or while within any semi-enclosed transit stop or waiting area.    Source information: https://portal.ct.gov/-/media/Office-of-the-Governor/Executive-Orders/Lamont-Executive-Orders/Executive-Order-No-7NNN.pdf",,CT
1384,2020-03-16,Order Freezing Utility Shut Offs,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, paid sick leave",,RI
